,Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Prod_Deliv_Ratio,CO2_per_unit,Deliveries_per_station,YearMonth,Lag_Deliveries,Rolling_3m_Deliveries,Delivery_Growth_Rate,Price_per_kWh
0,2023,5,Europe,Model S,17646,17922,92874.27,120,704,1863.42,Interpolated (Month),12207,1.0156409384563074,0.10397388684298628,1.4455640206438929,2023-5,,,,773.95225
1,2015,2,Asia,Model X,3797,4164,62205.65,75,438,249.46,Official (Quarter),7640,1.0966552541480117,0.059908741594620556,0.49698952879581154,2015-2,,,,829.4086666666667
2,2019,1,North America,Model X,8411,9189,117887.32,82,480,605.59,Interpolated (Month),14071,1.0924979193912734,0.06590379801937099,0.597754246322223,2019-1,,,,1437.6502439024391
3,2021,2,North America,Model 3,6555,7311,89294.91,120,712,700.07,Official (Quarter),9333,1.1153318077803203,0.09575571057310903,0.702346512375442,2021-2,8411.0,,-0.22066341695398883,744.1242500000001
4,2016,12,Middle East,Model Y,12374,13537,114846.78,120,661,1226.88,Estimated (Region),8722,1.09398739292064,0.09063160227524564,1.4187113047466178,2016-12,,,,957.0565
5,2020,4,Asia,Model X,4656,5043,86930.57,82,477,333.14,Official (Quarter),5798,1.0831185567010309,0.06605988498909379,0.8030355294929286,2020-4,3797.0,,0.226231235185673,1060.1289024390244
6,2015,11,Asia,Model 3,7717,7976,87588.21,82,475,549.84,Interpolated (Month),9961,1.033562265128936,0.06893681043129389,0.7747214135126995,2015-11,4656.0,5390.0,0.6574312714776633,1068.1489024390244
7,2020,6,Europe,Cybertruck,8410,9192,73815.61,100,592,746.81,Official (Quarter),8216,1.0929845422116529,0.08124564838990427,1.0236124634858812,2020-6,17646.0,,-0.5234047376175903,738.1561
8,2022,4,Europe,Model S,15145,15760,69993.86,100,563,1279.0,Interpolated (Month),13264,1.0406074612083196,0.08115482233502538,1.1418124246079615,2022-4,8410.0,13733.666666666666,0.800832342449465,699.9386
9,2021,3,Middle East,Model Y,7790,8208,50781.2345,82,485,566.72,Interpolated (Month),3383,1.053658536585366,0.0690448343079922,2.3026899201891813,2021-3,12374.0,,-0.37045417811540327,619.2833475609756
10,2020,11,Asia,Model 3,8319,9154,117946.76,120,670,836.06,Estimated (Region),10165,1.100372640942421,0.09133275071007209,0.8183964584358091,2020-11,7717.0,6897.333333333333,0.07800958921860834,982.8896666666666
11,2025,5,Asia,Cybertruck,5937,6483,78837.18,82,477,424.79,Interpolated (Month),14940,1.0919656392117232,0.0655236773098874,0.3973895582329317,2025-5,8319.0,7324.333333333333,-0.28633249188604404,961.4290243902439
12,2020,10,Middle East,Model S,8724,9355,99200.65,82,453,592.8,Estimated (Region),5325,1.072329206785878,0.06336718332442544,1.6383098591549297,2020-10,7790.0,9629.333333333334,0.11989730423620015,1209.7640243902438
13,2020,11,Asia,Model S,10737,11658,78316.37,75,426,686.09,Interpolated (Month),5601,1.0857781503213189,0.05885143249270887,1.9169791108730583,2020-11,5937.0,8331.0,0.8084891359272359,1044.2182666666665
14,2020,4,North America,Cybertruck,4408,5007,91115.89,120,665,439.7,Estimated (Region),8397,1.1358892921960073,0.08781705612143,0.5249493866857211,2020-4,6555.0,6458.0,-0.327536231884058,759.2990833333333
15,2025,3,North America,Cybertruck,17079,18904,111739.13,120,682,1747.18,Official (Quarter),3904,1.1068563733239651,0.09242382564536607,4.374743852459017,2025-3,4408.0,9347.333333333334,2.874546279491833,931.1594166666667
16,2023,11,Europe,Model S,12540,13453,56018.16,100,592,1113.55,Interpolated (Month),11616,1.0728070175438595,0.08277335910205902,1.0795454545454546,2023-11,15145.0,12031.666666666666,-0.1720039617035325,560.1816
17,2020,7,Europe,Model S,16546,17888,97411.05,100,585,1451.91,Official (Quarter),14471,1.0811072162456183,0.08116670393559929,1.1433902287333286,2020-7,12540.0,14743.666666666666,0.319457735247209,974.1105
18,2017,1,Europe,Model S,6472,6810,57769.87,100,590,572.77,Estimated (Region),14372,1.0522249690976515,0.08410719530102789,0.45032006679654885,2017-1,16546.0,11852.666666666666,-0.6088480599540674,577.6987
19,2021,1,Asia,Model 3,7808,8183,102109.35,60,359,420.46,Interpolated (Month),8256,1.0480276639344261,0.05138213369180007,0.9457364341085271,2021-1,10737.0,8160.666666666667,-0.2727950079165502,1701.8225
